best_parallelized_time,dist_m,avg_trips,ttt_contribution,ttt_pm,n1_latitude,n2_latitude,n1_longitude,n2_longitude,n1_planningArea,n2_planningArea,n1_avg_flow,n2_avg_flow,n1_pop_estimate,n2_pop_estimate,pair,label
0.0,19828.0,0.0,0.0,0.0,1.39623361717149,1.33742106440195,103.75421868895825,103.92253160478627,43,2,11847,173459,1,948,"('45031', '84479')",0
454.4999999999998,400.0,9.321428571428571,4174.17857142857,10.435446428571423,1.33287166703192,1.33619305600558,103.8558608329901,103.85544250002881,47,47,148171,33636,1362,309,"('52339', '52349')",1
0.0,11201.0,0.0,0.0,0.0,1.38699777800655,1.33110349338955,103.84804111102198,103.93198370934411,1,2,31050,58399,298,319,"('55239', '84341')",0
0.0,20154.0,0.0,0.0,0.0,1.275062,1.43659170251147,103.624222,103.70811753153625,48,20,7163,952,0,2,"('25761', '34039')",0
0.0,6870.0,0.0,0.0,0.0,1.34079486676221,1.37409009466488,103.69717899290252,103.74930160167106,18,12,77412,20445,416,331,"('22231', '44891')",0
0.0,11459.0,0.0,0.0,0.0,1.28159092769912,1.31264863196713,103.78400650244838,103.68577338809426,33,4,9657,3925,80,0,"('16209', '23261')",0
297.58463102308,500.0,53.642857142857146,18347.228874028693,36.69445774805739,1.30803621256234,1.3047647219741,103.90349800941955,103.90592361097,23,23,31870,31722,198,197,"('92179', '92189')",1
272.00000000000006,400.0,2.9047619047619047,856.2857142857146,2.1407142857142856,1.45246524141338,1.45156922188356,103.7925804884025,103.78905216062749,50,50,85178,26614,863,269,"('47049', '47039')",1
0.0,8541.0,0.0,0.0,0.0,1.3095609201372,1.38140148022937,103.78201879388226,103.75380266661918,33,12,14908,189922,124,3082,"('19029', '44289')",0
0.0,8954.0,0.0,0.0,0.0,1.32663388888255,1.38354973187936,103.84641000001729,103.903650012666,26,38,177280,12552,1510,118,"('50171', '67501')",0
0.0,10222.0,0.0,0.0,0.0,1.32204861560134,1.34223585449884,103.86628982237994,103.9559270984333,19,44,244867,16695,1274,181,"('60139', '96171')",0
218.22383586261736,400.0,10.535714285714285,2253.5601064666544,5.633900266166635,1.39917246521216,1.40173746082241,103.90767172209786,103.90762981656073,32,32,30302,118397,718,2807,"('65241', '65289')",1
105.87400981331187,2578.0,69.5,7328.346726395118,2.842648070750628,1.32221972730517,1.31709537499354,103.92262015530929,103.90295147896967,2,15,87582,233031,478,869,"('84019', '82069')",1
0.0,20903.0,0.0,0.0,0.0,1.32058194734278,1.31843666702467,103.76356592222618,103.95138333302127,13,2,52720,20794,214,113,"('17371', '94061')",0
65.97045536496078,400.0,4.571428571428571,302.0043152436574,0.7550107881091437,1.379094,1.38249472962714,103.827593,103.82576395474278,1,1,14165,80596,136,775,"('56041', '56051')",1
162.36604107612823,500.0,2.142857142857143,333.38001792900553,0.6667600358580109,1.36741835425889,1.36660638165473,103.83233403239235,103.82842866172699,3,9,10035,33501,114,0,"('56269', '53099')",1
0.0,17153.0,0.0,0.0,0.0,1.31206487520147,1.42539008150192,103.72296452520035,103.82822466548578,17,51,39458,47162,302,524,"('21089', '59551')",0
0.0,29631.0,0.0,0.0,0.0,1.35607204234326,1.35507956918888,103.68903921690323,103.95529781026745,49,44,7530,305792,1,3317,"('27189', '76031')",0
175.12500000000003,300.0,6.642857142857142,1105.0714285714287,3.6835714285714287,1.43046208317462,1.43190354583508,103.79470229416464,103.79644777764182,50,50,80688,60800,818,616,"('47501', '47511')",1
0.0,9373.0,0.0,0.0,0.0,1.32177193921987,1.32012951912406,103.74184000241928,103.82605259642706,17,45,37116,61425,284,310,"('20211', '40081')",0
0.0,4811.0,0.0,0.0,0.0,1.28451455846092,1.3195596877041,103.84666049314171,103.87229334189442,28,19,75810,8255,221,42,"('05199', '80291')",0
117.8627963863967,500.0,52.50000000000001,6108.980555949857,12.217961111899713,1.36439805444874,1.36146974234447,103.89682349089492,103.89452504836862,16,16,31919,112881,381,1350,"('64239', '64209')",1
0.0,9360.0,0.0,0.0,0.0,1.28500467671367,1.36437667280221,103.8606110538643,103.88984149586426,14,16,29259,240485,9,2877,"('03501', '63059')",0
278.90879976121494,300.0,2.392857142857143,682.9199946983582,2.276399982327861,1.37240520198465,1.36984558380582,103.90067635112096,103.90037616571983,16,16,40618,4921,486,58,"('64329', '64319')",1
0.0,18045.0,0.0,0.0,0.0,1.30906501014268,1.35687499368341,103.7929321687807,103.9479674220669,33,44,94471,53580,787,581,"('11389', '76201')",0
0.0,16897.0,0.0,0.0,0.0,1.37943055556701,1.37063835467565,103.7308563889232,103.882445169636,49,16,7620,132354,1,1583,"('30091', '63389')",0
47.13161991142421,500.0,72.07142857142857,3322.6732068932297,6.645346413786461,1.38449631673384,1.38103523807931,103.75817595629141,103.7608578414621,12,7,46575,70785,755,575,"('44059', '44049')",1
62.56719945067587,400.0,82.32142857142858,4988.131616246263,12.470329040615654,1.3080413890204,1.3109950000148,103.76591111102081,103.76349999999258,13,13,19647,69571,79,282,"('17131', '17141')",1
0.0,16965.0,0.0,0.0,0.0,1.31868562417111,1.335623,103.72042922086165,103.871938,4,47,13141,26570,0,244,"('21159', '61119')",0
260.70380408564847,600.0,448.0,110208.19037236128,183.68031728726882,1.40587968028504,1.40257805553795,103.91251694444946,103.91244500001986,32,32,67728,55744,1605,1321,"('65391', '65319')",1
0.0,13443.0,0.0,0.0,0.0,1.32929472200012,1.37836352141036,103.63264583299014,103.74316666952303,48,12,6133,56063,0,909,"('25469', '44571')",0
191.18916442297768,300.0,2.785714285714286,531.1816484128187,1.7706054947093957,1.33363626085559,1.3363012622323,103.72493610114242,103.7250086693193,18,18,37034,49673,199,267,"('21631', '21641')",1
350.25,300.0,5.25,1700.9999999999998,5.67,1.31724802771626,1.315368056,103.8572754498738,103.8594669,19,19,17458,29841,90,155,"('50241', '07249')",1
0.0,3222.0,0.0,0.0,0.0,1.34750333302055,1.32554207103,103.87601972203167,103.89505220634288,39,15,21159,33944,251,126,"('62161', '71219')",0
