pair,prob
['21421' '21439'],0.9999994
['67111' '65061'],0.9999994
['03151' '05429'],0.9999994
['44259' '44191'],0.9999994
['99039' '99081'],0.9999994
['65199' '65241'],0.9999994
['04019' '07517'],0.9999994
['04121' '04168'],0.9999994
['01139' '07569'],0.9999994
['65349' '65221'],0.9999994
['44649' '44031'],0.9999994
['45091' '49021'],0.9999994
['80159' '01639'],0.9999994
['68129' '68191'],0.9999994
['03011' '03381'],0.9999994
['65409' '65251'],0.9999994
['21459' '21439'],0.9999994
['99019' '99071'],0.9999994
['43789' '40349'],0.9999994
['42199' '43011'],0.9999994
['18179' '11451'],0.9999994
['14161' '14351'],0.9999994
['68129' '68199'],0.9999994
['01629' '01511'],0.9999994
['10361' '10009'],0.9999994
['42319' '42299'],0.9999994
['08031' '04311'],0.9999994
['43341' '43321'],0.9999994
['08057' '08079'],0.9999994
['80151' '02169'],0.9999994
['67111' '65031'],0.9999994
['03071' '03151'],0.9999994
['44451' '45231'],0.9999994
['67129' '67661'],0.9999994
['57049' '57031'],0.9999994
['44499' '45239'],0.9999994
['01012' '01029'],0.9999994
['44459' '44531'],0.9999994
['05189' '03041'],0.9999994
['18189' '11459'],0.9999994
['67111' '65069'],0.9999994
['01059' '01541'],0.9999994
['02149' '01639'],0.9999994
['93121' '93119'],0.9999994
['03019' '03391'],0.9999994
['10501' '10361'],0.9999994
['43409' '43321'],0.9999994
['18041' '18281'],0.9999994
['71119' '72011'],0.9999994
['99019' '99079'],0.9999994
['45231' '44531'],0.9999994
['16199' '16151'],0.9999994
['14109' '14381'],0.9999994
['13169' '13171'],0.9999994
['08041' '04019'],0.9999994
['17371' '17201'],0.9999994
['45329' '45339'],0.9999994
['01511' '01112'],0.9999994
['77101' '77119'],0.9999994
['40269' '40251'],0.9999994
['80159' '01631'],0.9999994
['96051' '96449'],0.9999994
['15051' '18019'],0.9999994
['03071' '03579'],0.9999994
['80151' '02149'],0.9999994
['01529' '01511'],0.9999994
['93129' '93111'],0.9999994
['01119' '07569'],0.9999994
['45271' '45301'],0.9999994
['80151' '01611'],0.9999994
['80169' '01521'],0.9999994
['44259' '44199'],0.9999994
['28389' '28601'],0.9999994
['65349' '65229'],0.9999994
['15209' '15211'],0.9999994
['05029' '05022'],0.9999994
['10069' '10121'],0.9999994
['96059' '96449'],0.9999994
['45099' '49021'],0.9999994
['14319' '14271'],0.9999994
['57011' '48101'],0.9999994
['03151' '05271'],0.9999994
['95091' '95089'],0.9999994
['65249' '65271'],0.9999994
['99011' '99079'],0.9999994
['28539' '28399'],0.9999994
['80151' '02159'],0.9999994
['03129' '03021'],0.9999994
