id,lat,lng,planningArea,tap_in,tap_out,deficit,avg_flow,pop_multiplier,pop_estimate
95179,1.37635787246647,104.00221640515575,CHANGI,15464,1537,13927,8500,0.002712665819676657,5
95169,1.37262300000012,104.0046664051527,CHANGI,9399,428,8971,4913,0.0015679208437731076,2
96479,1.367858,104.010442,CHANGI,1564,178,1386,871,0.0002779684622280433,0
96439,1.317708,104.015614,CHANGI BAY,21390,146,21244,10768,1.0,0
96429,1.313721111,103.9953811,CHANGI,23934,1476,22458,12705,0.004054637557528462,7
96241,1.32746975992942,103.96702744644506,TAMPINES,22737,665,22072,11701,0.0004883823354601053,126
96271,1.32913596796858,103.96366258799002,TAMPINES,2717,487,2230,1602,6.686509712051011e-05,17
96231,1.3300314164688,103.96086883190902,TAMPINES,5770,1090,4680,3430,0.00014316309807949418,37
78099,1.37740660071471,103.95708795238238,PASIR RIS,6953,20235,-13282,13594,0.0012818255821420215,92
78251,1.37824090541171,103.9595522242097,PASIR RIS,7421,42121,-34700,24771,0.0023357438204531424,169
78261,1.37865831081472,103.9606174383779,PASIR RIS,16594,47174,-30580,31884,0.0030064533515533486,218
78271,1.37922254801698,103.96383348445823,PASIR RIS,10539,22218,-11679,16378,0.001544338633538475,112
78279,1.37923567744466,103.96426677704831,PASIR RIS,13214,5405,7809,9309,0.0008777780156068913,63
78269,1.37861875398733,103.96096176266686,PASIR RIS,30902,2177,28725,16539,0.001559519883996388,113
78259,1.37802115263457,103.95936584739643,PASIR RIS,32485,1118,31367,16801,0.0015842247760459104,114
78091,1.37681617858505,103.95624713617742,PASIR RIS,16111,9449,6662,12780,0.0012050706885225126,87
77191,1.37654807606486,103.94602815996554,PASIR RIS,42076,44579,-2503,43327,0.0040854536558384115,296
77201,1.37864001176536,103.94276350247947,PASIR RIS,96954,170651,-73697,133802,0.012616656358817624,915
77211,1.37999169580419,103.94094544562029,PASIR RIS,53455,79891,-26436,66673,0.006286829265716861,456
77221,1.37954502345926,103.93830035527515,PASIR RIS,37735,58938,-21203,48336,0.004557769702693597,330
77181,1.37591147273628,103.94109934608323,PASIR RIS,37425,44265,-6840,40845,0.003851417235735683,279
77071,1.37810945408117,103.94127900809487,PASIR RIS,82856,54594,28262,68725,0.00648031948894442,470
77209,1.37902915784394,103.94271591238348,PASIR RIS,113716,83568,30148,98642,0.009301297563164139,674
77199,1.376671,103.94637,PASIR RIS,30998,24022,6976,27510,0.0025940136651998688,188
78231,1.373443032341,103.95986036196572,PASIR RIS,27051,29631,-2580,28341,0.0026723715479981635,193
78241,1.37211000864374,103.95765320446608,PASIR RIS,37129,14994,22135,26061,0.0024573824110786543,178
77251,1.38223834152443,103.93864433688064,PASIR RIS,22708,48172,-25464,35440,0.003341760970362899,242
77261,1.38285811735056,103.93615875590504,PASIR RIS,16831,29298,-12467,23064,0.0021747848482068254,157
77271,1.38058998439068,103.9349613837619,PASIR RIS,59921,49267,10654,54594,0.005147858307448987,373
77291,1.37746279073187,103.93476034022859,PASIR RIS,77525,73090,4435,75307,0.007100959181577845,515
77279,1.38079641020594,103.9346621770568,PASIR RIS,48552,51451,-2899,50001,0.0047147683487335015,342
77269,1.38289337444624,103.9357870042478,PASIR RIS,18937,10181,8756,14559,0.0013728187914083929,99
77259,1.3827163599648,103.93855855739126,PASIR RIS,39487,15517,23970,27502,0.0025932593173510284,188
77219,1.3805766269449,103.94064766803564,PASIR RIS,50724,34125,16599,42424,0.004000306642400553,290
77179,1.37254332490473,103.95081255052568,PASIR RIS,106214,96942,9272,101578,0.00957814322368856,694
77349,1.37000783675508,103.94874237905681,PASIR RIS,19570,15710,3860,17640,0.0016633370066930456,120
77359,1.36808803474125,103.95001861343128,PASIR RIS,12838,21335,-8497,17086,0.001611098418160849,116
77369,1.36836666126193,103.95166401714877,PASIR RIS,9497,39268,-29771,24382,0.0022990636563032787,166
78171,1.36780002450028,103.95673805301494,PASIR RIS,29211,63123,-33912,46167,0.004353247142176748,315
78181,1.36476141959655,103.95905802330991,PASIR RIS,37615,79615,-42000,58615,0.005527012394972385,400
78191,1.36488943048941,103.96176906896966,PASIR RIS,16814,26084,-9270,21449,0.0020225008762221734,146
78199,1.36477,103.96189,PASIR RIS,17524,9580,7944,13552,0.0012778652559356097,92
78189,1.3646,103.95896,PASIR RIS,56826,25257,31569,41041,0.0038698987580322725,280
78179,1.36767,103.95648,PASIR RIS,35950,23877,12073,29913,0.0028206009002952987,204
77361,1.36800665136778,103.95173655442387,PASIR RIS,46950,13043,33907,29996,0.002828427259227018,205
77351,1.36789609661968,103.95008847029645,PASIR RIS,26372,15029,11343,20700,0.0019518750588744924,141
77341,1.36973888889645,103.94849805552538,PASIR RIS,11758,20748,-8990,16253,0.001532551948400344,111
77171,1.37276133738912,103.95064755544978,PASIR RIS,40919,196287,-155368,118603,0.011183489739502001,811
94099,1.31149001305165,103.95030071791084,BEDOK,5394,3411,1983,4402,0.00017926882671892314,24
82059,1.3012419783155,103.89745113021507,MARINE PARADE,38659,10718,27941,24688,0.006281243384951069,154
02149,1.29560459817725,103.85955533029184,DOWNTOWN CORE,6299,30789,-24490,18544,0.003862846453728228,6
02159,1.29360811227161,103.85840672828635,DOWNTOWN CORE,8589,28292,-19703,18440,0.003841182517620175,6
09191,1.30488653118311,103.82549755834486,ORCHARD,56535,57980,-1445,57257,0.016161647524394755,14
82051,1.30079999936599,103.89740107761654,MARINE PARADE,10840,46795,-35955,28817,0.007331764040186931,179
93199,1.30794833296674,103.92628500000932,BEDOK,8370,14284,-5914,11327,0.00046128532490805144,61
93149,1.30742050291938,103.9278209209607,BEDOK,8228,13732,-5504,10980,0.000447153956695542,60
97141,1.35231360645922,103.96793511086432,CHANGI,5588,41542,-35954,23565,0.00752046706360946,13
97151,1.34957475260085,103.96705688688903,CHANGI,4684,22333,-17649,13508,0.004310904693199092,7
97161,1.34716828634192,103.96759395445096,CHANGI,7490,27374,-19884,17432,0.005563198890423939,10
97171,1.34566460198537,103.96993803786681,CHANGI,47161,149465,-102304,98313,0.031375331144690724,58
97181,1.34784936649026,103.97214908694973,CHANGI,6918,10156,-3238,8537,0.0027244738944211316,5
97189,1.34674882374419,103.97146767080093,CHANGI,30908,8196,22712,19552,0.006239769659566822,11
97179,1.34529387211141,103.9698135852748,CHANGI,65119,681,64438,32900,0.010499612407924942,19
97169,1.34695022666824,103.96753724160826,CHANGI,16683,97,16586,8390,0.0026775607325984882,4
97159,1.35028972565622,103.96769101118204,CHANGI,23617,540,23077,12078,0.003854538561182901,7
97149,1.35180572395974,103.96795596081698,CHANGI,20257,1503,18754,10880,0.0034722122491861207,6
67231,1.39322205615326,103.90395664347085,SENGKANG,41956,126842,-84886,84399,0.006522541017338341,798
67221,1.39116246855705,103.90639445299767,SENGKANG,27631,44110,-16479,35870,0.0027721127773069143,339
67661,1.38889400053531,103.90878400579224,SENGKANG,145265,161372,-16107,153318,0.01184875346504437,1451
67671,1.39200512922492,103.90712750531712,SENGKANG,36135,28916,7219,32525,0.0025136037937526453,307
67239,1.3930503019817,103.90373341553943,SENGKANG,101760,63728,38032,82744,0.006394638964189667,783
67171,1.38731209583307,103.89897692182004,SENGKANG,73719,112554,-38835,93136,0.007197755662873064,881
67649,1.398051,103.8933425,SENGKANG,2975,22915,-19940,12945,0.00100041817402392,122
67699,1.3988295,103.889524,SENGKANG,7302,75413,-68111,41357,0.0031961602489847243,391
67701,1.3984935,103.877445,SENGKANG,12076,34179,-22103,23127,0.0017873056091657934,218
67741,1.3971275,103.875622,SENGKANG,1852,3698,-1846,2775,0.00021445812537013346,26
67691,1.39899,103.8887775,SENGKANG,44279,8766,35513,26522,0.0020496787030870917,251
67641,1.398044,103.8934405,SENGKANG,11695,3975,7720,7835,0.0006055060945135119,74
65251,1.40502618974463,103.90299618971393,PUNGGOL,125247,100214,25033,112730,0.015320828865947437,2672
65181,1.39681388886675,103.91754694442001,PUNGGOL,3223,13190,-9967,8206,0.0011152552264167893,194
65561,1.40046,103.920181,PUNGGOL,11663,25615,-13952,18639,0.0025331759889327976,441
65569,1.398633889,103.9191989,PUNGGOL,48247,42269,5978,45258,0.006150892156613582,1073
65189,1.39682694447407,103.91793305556935,PUNGGOL,13295,4075,9220,8685,0.0011803548185997826,205
65571,1.403478611,103.895535,PUNGGOL,11041,33757,-22716,22399,0.0030441874014757084,531
65551,1.40374,103.8933695,PUNGGOL,3142,22785,-19643,12963,0.0017617662076579138,307
65541,1.403562,103.8912,PUNGGOL,9913,63442,-53529,36677,0.004984671696233072,869
65531,1.4024,103.8936,PUNGGOL,40753,64290,-23537,52521,0.007137986808022934,1245
65491,1.40456320178872,103.89496045471951,PUNGGOL,5212,930,4282,3071,0.000417371289340234,72
65441,1.40817769231202,103.89579264867245,PUNGGOL,6121,6789,-668,6455,0.0008772815606288539,153
65451,1.41068999997892,103.89759188105812,PUNGGOL,63624,39913,23711,51768,0.0070356486182237814,1227
65461,1.40985888889928,103.90129988103229,PUNGGOL,31164,9394,21770,20279,0.0027560639454674717,480
65481,1.40886523796853,103.90603964310132,PUNGGOL,11113,8483,2630,9798,0.001331619633004107,232
65351,1.40589404110743,103.90472620505594,PUNGGOL,25629,41226,-15597,33427,0.004542973001880821,792
65359,1.40552300002668,103.90435300000112,PUNGGOL,28508,9845,18663,19176,0.002606158203968846,454
65489,1.40819500002156,103.90566900789092,PUNGGOL,8741,4836,3905,6788,0.0009225386883886383,160
65469,1.40982305558831,103.90097793657458,PUNGGOL,8180,26168,-17988,17174,0.00233407180824786,407
65459,1.41060953055987,103.8977216527095,PUNGGOL,13807,22844,-9037,18325,0.0024905010996938417,434
65449,1.40804081420589,103.89593121183572,PUNGGOL,13225,12821,404,13023,0.0017699206450921092,308
65499,1.40455142766372,103.89497063575236,PUNGGOL,3226,13064,-9838,8145,0.001106964881692024,193
65539,1.402291,103.8937,PUNGGOL,111336,81230,30106,96283,0.01308556165794391,2282
65549,1.403521,103.8912,PUNGGOL,58817,11164,47653,34990,0.004755396097041611,829
65559,1.404046,103.8925,PUNGGOL,30512,2022,28490,16267,0.00221080389570094,385
65579,1.403556111,103.8960314,PUNGGOL,6056,2924,3132,4490,0.0006102237346589549,106
65671,1.411223,103.898788,PUNGGOL,24528,20306,4222,22417,0.003046633732705967,531
65679,1.410983,103.898983,PUNGGOL,12735,25895,-13160,19315,0.0026250493173580656,457
65609,1.407746111,103.8981261,PUNGGOL,3174,3205,-31,3189,0.00043340834962748493,75
65619,1.4115376363476,103.9000027461105,PUNGGOL,14500,11754,2746,13127,0.0017840550033113812,311
65641,1.415276389,103.8998269,PUNGGOL,14077,19460,-5383,16768,0.002278893448276471,397
65651,1.417311944,103.9013861,PUNGGOL,26357,30071,-3714,28214,0.0038344882961398115,668
65661,1.418851944,103.9057239,PUNGGOL,64730,66524,-1794,65627,0.008919187758232347,1555
65631,1.41730626833353,103.90541762051286,PUNGGOL,2347,920,1427,1633,0.0002219366055006845,38
65621,1.416279,103.902739,PUNGGOL,7069,2693,4376,4881,0.0006633634852717949,115
65611,1.41138059190012,103.9003025582472,PUNGGOL,10464,9397,1067,9930,0.0013495593953593368,235
